event_id,home_team,away_team,match_date,score,period,stat_key,home_value,away_value,home_total,away_total
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,expectedGoals,0.27,0.65,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,bigChanceCreated,0.0,1.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,totalShotsOnGoal,8.0,5.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,goalkeeperSaves,0.0,3.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,cornerKicks,4.0,0.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,fouls,6.0,7.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,passes,277.0,250.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,totalTackle,7.0,13.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,freeKicks,7.0,6.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,yellowCards,1.0,0.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,shotsOnGoal,3.0,1.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,hitWoodwork,0.0,0.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,shotsOffGoal,3.0,3.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,blockedScoringAttempt,2.0,1.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,totalShotsInsideBox,4.0,3.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,totalShotsOutsideBox,4.0,2.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,bigChanceScored,0.0,1.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,bigChanceMissed,0.0,0.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,accurateThroughBall,1.0,0.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,fouledFinalThird,3.0,0.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,offsides,1.0,4.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,accuratePasses,232.0,211.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,throwIns,13.0,7.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,finalThirdEntries,21.0,19.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,accurateLongBalls,7.0,8.0,15.0,29.0
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,accurateCross,2.0,0.0,9.0,1.0
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,duelWonPercent,44.0,56.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,dispossessed,6.0,5.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,groundDuelsPercentage,19.0,21.0,40.0,40.0
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,aerialDuelsPercentage,5.0,9.0,14.0,14.0
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,dribblesPercentage,5.0,2.0,12.0,4.0
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,wonTacklePercent,5.0,10.0,7.0,13.0
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,interceptionWon,4.0,6.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,ballRecovery,21.0,29.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,totalClearance,3.0,12.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,goalKicks,5.0,6.0,,
